City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
167,Khovd,48.0056,91.6419,1.38,74.0,45.0,4.99,MN,1735933178.0
168,Ndélé,8.4109,20.6473,76.78,19.0,83.0,4.45,CF,1735933180.0
169,Kenai,60.5544,-151.2583,-0.35,92.0,0.0,4.61,US,1735933181.0
170,Uturoa,-16.7333,-151.4333,80.44,79.0,61.0,16.49,PF,1735933182.0
171,Pionerskiy,54.9508,20.2275,31.84,67.0,44.0,40.15,RU,1735933183.0
172,Brisas Barra de Suchiate,14.55,-92.2167,82.72,64.0,96.0,6.35,MX,1735933184.0
173,Tangalle,6.024,80.7911,73.49,83.0,99.0,9.26,LK,1735933185.0
174,Urangan,-25.3,152.9,76.51,65.0,100.0,20.02,AU,1735933186.0
175,Kourou,5.1552,-52.6478,78.8,91.0,100.0,8.59,GF,1735933187.0
176,Pyt-Yakh,60.7499,72.8582,12.43,97.0,93.0,5.66,RU,1735933189.0
177,Kirakira,-10.4544,161.9205,79.27,82.0,100.0,2.17,SB,1735933190.0
178,Cadale,2.7603,46.3222,77.54,84.0,35.0,23.13,SO,1735933191.0
179,Northam,51.0333,-4.2167,32.81,87.0,98.0,1.01,GB,1735933192.0
180,City of San Pedro,14.35,121.0167,78.03,98.0,100.0,2.3,PH,1735933193.0
181,Sabzawār,36.2126,57.6819,35.28,56.0,100.0,3.67,IR,1735933194.0
182,Alpena,45.0617,-83.4327,25.12,65.0,100.0,13.8,US,1735933196.0
183,Dunedin,-45.8742,170.5036,55.33,67.0,32.0,15.64,NZ,1735933197.0
184,Port Hueneme,34.1478,-119.1951,67.46,70.0,0.0,5.01,US,1735933198.0
185,Yaren,-0.5472,166.916,81.86,77.0,100.0,12.68,NR,1735933199.0
186,Mogocha,53.7333,119.7667,-24.7,98.0,33.0,2.42,RU,1735933200.0
187,Arteche,12.2645,125.4048,77.05,90.0,41.0,4.43,PH,1735933201.0
188,Chakwal,32.9334,72.8585,49.78,61.0,1.0,1.48,PK,1735933202.0
189,Tilisarao,-32.7329,-65.2911,92.77,19.0,2.0,7.9,AR,1735933203.0
190,Bengkulu,-3.8004,102.2655,75.56,88.0,63.0,4.05,ID,1735933205.0
191,Flying Fish Cove,-10.4217,105.6791,76.68,94.0,100.0,3.44,CX,1735933206.0
192,Brande,55.9381,9.1218,26.76,59.0,33.0,10.69,DK,1735933207.0
193,General Acha,-37.377,-64.6043,94.89,15.0,2.0,10.22,AR,1735933208.0
194,Ust-Nera,64.5667,143.2,-14.71,91.0,100.0,2.13,RU,1735933209.0
195,I-n-Salah,27.1935,2.4607,56.46,45.0,0.0,11.27,DZ,1735933210.0
196,Tura,25.5198,90.2201,57.96,71.0,3.0,3.53,IN,1735933211.0
197,Shihezi,44.3,86.0333,11.59,83.0,5.0,4.34,CN,1735933212.0
198,Pleasanton,37.6624,-121.8747,55.85,93.0,100.0,5.75,US,1735933032.0
199,,,,,,,,,
200,Vilyuysk,63.7553,121.6247,-43.46,96.0,19.0,5.32,RU,1735933215.0
201,Constanța,44.1833,28.65,41.68,66.0,100.0,8.12,RO,1735933217.0
202,Amga,60.8953,131.9608,-56.49,100.0,89.0,1.23,RU,1735933218.0
203,Laghouat,33.8,2.8651,48.51,56.0,19.0,6.33,DZ,1735933219.0
204,Espoo,60.25,24.6667,17.73,93.0,99.0,1.72,FI,1735933220.0
205,Vorgashor,67.5833,63.95,-11.16,98.0,48.0,3.85,RU,1735933221.0
206,Galveston,29.3669,-94.9669,69.06,76.0,75.0,14.97,US,1735933222.0
207,Pacocha,-17.5833,-71.3333,71.74,64.0,0.0,8.05,PE,1735933223.0
208,Lagoa,39.05,-27.9833,62.29,91.0,23.0,24.58,PT,1735933224.0
209,Businga,3.3333,20.8833,76.62,35.0,98.0,0.81,CD,1735933225.0
210,Longyearbyen,78.2186,15.6401,22.84,86.0,75.0,2.3,SJ,1735933227.0
211,Trondheim,63.4305,10.3951,25.0,85.0,100.0,1.99,NO,1735933228.0
212,,,,,,,,,
213,Cole Harbour,44.6724,-63.4751,33.28,72.0,97.0,16.11,CA,1735933230.0
214,Santa Catarina,-27.0,-50.0,89.87,30.0,1.0,5.3,BR,1735933231.0
215,Neryungri,56.6709,124.6491,-53.97,99.0,55.0,0.81,RU,1735933233.0
216,Vielha e Mijaran,42.6846,0.7726,30.99,99.0,100.0,3.0,ES,1735933234.0
217,Laguna,38.421,-121.4238,51.98,93.0,100.0,9.22,US,1735933235.0
218,Vozhega,60.4725,40.2213,16.16,96.0,98.0,7.72,RU,1735933236.0
219,Wej,26.2455,36.4525,64.35,42.0,0.0,5.75,SA,1735933237.0
220,Holualoa,19.6228,-155.9522,75.83,74.0,0.0,9.22,US,1735933238.0
221,Belmonte,-15.8631,-38.8828,81.25,70.0,27.0,11.5,BR,1735933240.0
222,Hamilton,39.1834,-84.5333,29.77,64.0,75.0,19.57,US,1735933241.0
223,Bend,44.0582,-121.3153,36.05,97.0,100.0,1.01,US,1735933242.0
224,,,,,,,,,
225,Hīt,33.6416,42.8251,49.41,38.0,0.0,5.26,IQ,1735933244.0
226,Muroto-misakicho,33.2833,134.15,43.25,54.0,0.0,13.91,JP,1735933245.0
227,Usakos,-22.0,15.6,70.09,52.0,100.0,4.27,NA,1735933246.0
228,,,,,,,,,
229,San Patricio,28.017,-97.5169,71.55,63.0,74.0,6.17,US,1735933249.0
230,Beipiao,41.7919,120.7792,18.39,37.0,0.0,1.57,CN,1735933250.0
231,Sandnessjøen,66.0217,12.6316,33.91,64.0,40.0,13.8,NO,1735933251.0
232,Micheweni,-4.9667,39.8333,81.36,77.0,11.0,12.55,TZ,1735933252.0
233,Mesquite,32.7668,-96.5992,63.25,58.0,0.0,8.05,US,1735933168.0
234,Uray,60.1247,64.7758,8.87,95.0,30.0,5.73,RU,1735933254.0
235,Margate,51.3813,1.3862,34.88,70.0,100.0,10.07,GB,1735932989.0
236,Geraldton,-28.7667,114.6,66.61,82.0,100.0,6.91,AU,1735933256.0
237,Nuuk,64.1835,-51.7216,32.61,100.0,75.0,17.27,GL,1735933230.0
238,Paracale,14.2804,122.7881,75.69,92.0,100.0,2.64,PH,1735933258.0
239,Port Mathurin,-19.6833,63.4167,78.48,74.0,7.0,17.34,MU,1735933260.0
240,Port Macquarie,-31.4333,152.9167,65.07,99.0,100.0,1.01,AU,1735933261.0
241,North Haven,41.3909,-72.8595,37.81,55.0,100.0,12.66,US,1735933262.0
242,Olinda,-8.0089,-34.8553,83.93,70.0,75.0,11.5,BR,1735932977.0
243,Kill Devil Hills,36.0307,-75.676,48.97,48.0,40.0,13.8,US,1735933137.0
244,Wajir,1.7471,40.0573,84.78,41.0,8.0,8.05,KE,1735933265.0
245,Tsévié,6.4261,1.2133,83.28,73.0,100.0,9.13,TG,1735933267.0
246,Kuanda,56.3161,116.0806,-13.5,98.0,97.0,1.03,RU,1735933268.0
247,Kharkhorin,47.1975,102.8238,6.91,79.0,7.0,5.48,MN,1735933269.0
248,Nevel'sk,46.6733,141.8633,18.55,76.0,100.0,14.03,RU,1735933270.0
249,San Andrés,12.5847,-81.7006,80.31,79.0,26.0,15.7,CO,1735933240.0
250,Pandan,14.0453,124.1694,76.66,92.0,85.0,5.01,PH,1735933272.0
251,Savanna-la-Mar,18.219,-78.1332,75.92,64.0,100.0,8.43,JM,1735933273.0
252,Springs,-26.25,28.4,71.67,92.0,38.0,5.88,ZA,1735933274.0
253,La Sarre,48.8002,-79.1996,4.93,93.0,100.0,13.85,CA,1735933275.0
254,Peniche,39.3558,-9.3811,53.56,86.0,85.0,11.97,PT,1735933276.0
255,Orapa,-21.2833,25.3667,71.6,86.0,100.0,16.49,BW,1735933278.0
256,Victorica,-36.2151,-65.4359,95.18,16.0,0.0,1.99,AR,1735933279.0
257,Kingston,17.997,-76.7936,83.35,74.0,75.0,8.05,JM,1735933280.0
258,,,,,,,,,
259,Pyapon,16.2833,95.6833,68.32,75.0,3.0,4.14,MM,1735933282.0
260,,,,,,,,,
261,Itacoatiara,-3.1431,-58.4442,90.48,51.0,73.0,6.26,BR,1735933284.0
262,Monastyryshche,48.9909,29.8047,28.63,88.0,44.0,6.33,UA,1735933285.0
263,Mortyq,50.7475,56.5056,24.3,93.0,24.0,8.48,KZ,1735933286.0
